territorio,usuario,tweet,microtema,macrotema_codigo,macrotema
Catalán,USER_e60b4176ea,"🌙🌧️🎶🏰🖤🌧️🌊

{{URL}} {{URL}}",Contenido no interpretable,NOINT,Contenido no interpretable
Catalán,USER_e60b4176ea,"RT {{USER_MENTION}}: De lo que no querría arrepentirme nunca
es de no hacerlo.",Toma de decisiones,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Catalán,USER_e60b4176ea,"RT {{USER_MENTION}}: {{URL}}
{{LOCATION}}....🖤🎶",Contenido no interpretable,NOINT,Contenido no interpretable
Catalán,USER_e60b4176ea,"🪟🔆🎶🌙
😌🎶🌊 {{URL}}",Contenido no interpretable,NOINT,Contenido no interpretable
Catalán,USER_e60b4176ea,RT {{USER_MENTION}}: 🤗 {{URL}},Contenido no interpretable,NOINT,Contenido no interpretable
Catalán,USER_e60b4176ea,RT {{USER_MENTION}}: GOOD MORNING! {{URL}},Saludo,REL,"Relaciones personales, afectivas y vida social"
Catalán,USER_e60b4176ea,"🩵🤍🏴‍☠️🖤💙

{{URL}} {{URL}}",Contenido no interpretable,NOINT,Contenido no interpretable
Catalán,USER_e60b4176ea,"🖤🐺🌙🎸🍷🎶🎭

{{URL}} {{URL}}",Contenido no interpretable,NOINT,Contenido no interpretable
Catalán,USER_e60b4176ea,"RT {{USER_MENTION}}: El horizonte se ondula. 
El calor inventa rios 
donde solo hay aire. {{URL}}",Observación de la naturaleza,OTROS,Otros temas o contenido ambiguo
Catalán,USER_e60b4176ea,RT {{USER_MENTION}}: Promise I know I’m capable.,Autoafirmación,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Catalán,USER_e60b4176ea,RT {{USER_MENTION}}: Ella. {{URL}},Contenido no interpretable,NOINT,Contenido no interpretable
Catalán,USER_e60b4176ea,"RT {{USER_MENTION}}: Un ascenso 𝐅𝐄𝐈𝐓𝐎 𝐍𝐀 𝐌𝐀𝐃𝐑𝐎𝐀 🌱

{{USER_MENTION}} {{LOCATION}} {{URL}}",Deportes: ascenso,DEP,Deporte y competición
Catalán,USER_e60b4176ea,"RT {{USER_MENTION}}: CELTISMO, SOMOS DE {{USER_MENTION}} 🔥

Tras moitos playoff petando á porta, esta familia FEITA NA MADROA acada o ascenso 🌱🩵 Un…",Deportes: celebración de ascenso,DEP,Deporte y competición
Catalán,USER_e60b4176ea,"... 🇸🇰🐺🎸 #{{LOCATION}} - #{{LOCATION}} 
🕯️🖤❤️‍🔥

Viernes... 😌🫴🏻🎶♣️

{{URL}}",Estado de ánimo y música,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Catalán,USER_48a50a6085,De toda la vida #Eurovision es política y os dais cuenta este año? De verdad?😂😂😂😂😂,Política y actualidad,POL,"Política, instituciones y actualidad pública"
Catalán,USER_48a50a6085,A día de hoy creo que nadie,Contenido no interpretable,NOINT,Contenido no interpretable
Catalán,USER_48a50a6085,"Al final te das cuenta realmente que nadie haría lo mismo por ti, nunca.",Reflexión personal,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Catalán,USER_48a50a6085,Tenía que compartir mi emoción 😍,Emoción personal,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Catalán,USER_48a50a6085,"Y LO MEJOR DE LA VIDA, EL VIERNES VOY AL ESTRENO DE ANIMALES FANTÁSTICOS 😍😍😍😍😍😍 ay que emoción",Cine y series,OCIO,"Cultura, ocio y entretenimiento"
Catalán,USER_48a50a6085,Quiero dormir todo el día,Deseo de descanso,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Catalán,USER_48a50a6085,🥲,Contenido no interpretable,NOINT,Contenido no interpretable
Catalán,USER_48a50a6085,Mi vida ahora,Contenido no interpretable,NOINT,Contenido no interpretable
Catalán,USER_48a50a6085,NECESITO QUE SALGA EL SOL,Deseo personal,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Catalán,USER_48a50a6085,Primer día de dieta. Voy que exploto de toda la comida 🙃🙃🙃,Dieta y alimentación,SALUD_COT,"Salud, cuerpo y bienestar cotidiano"
Catalán,USER_48a50a6085,En este momento:,Contenido no interpretable,NOINT,Contenido no interpretable
Catalán,USER_48a50a6085,"No estoy hecha para madrugar la verdad. Para mí la hora perfecta son las 9, no las 7😿💔",Rutina diaria,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Catalán,USER_48a50a6085,😶,Contenido no interpretable,NOINT,Contenido no interpretable
Catalán,USER_48a50a6085,Destruirlo,Contenido no interpretable,NOINT,Contenido no interpretable
Catalán,USER_48a50a6085,Que difícil es que alguien piense así 🤦🏼‍♀️,Frustración interpersonal,REL,"Relaciones personales, afectivas y vida social"
Catalán,USER_48a50a6085,Y por fin lo entendí,Reflexión personal,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Catalán,USER_48a50a6085,"Habéis conocido a esa persona, que después de tanto tiempo pienses y afirmes, ¿como alguien puede ser tan tan malo? ¿De ser tan tan mala persona? Porque yo si",Crítica de carácter,REL,"Relaciones personales, afectivas y vida social"
Catalán,USER_48a50a6085,"Que poco valor tienes para hacer las cosas bien hechas, de verdad",Crítica a terceros,OTROS,Otros temas o contenido ambiguo
Catalán,USER_48a50a6085,En todos los sitios bloqueada y me llamas? Pero que clase de hipocresía es esa? 🤷🏼‍♀️,Conflicto interpersonal,REL,"Relaciones personales, afectivas y vida social"
Catalán,USER_48a50a6085,"Te crees cualquier tontería que te digan porque deseas tanto, de verdad, deseas tanto no ser el único que la ha jodido que actúas como un ciego sin sentimientos.",Recriminación,REL,"Relaciones personales, afectivas y vida social"
Catalán,USER_48a50a6085,"{{PERSON}}, llegará el día que veas la realidad y te arrepentirás de tus actos xd",Advertencia a terceros,REL,"Relaciones personales, afectivas y vida social"
Catalán,USER_48a50a6085,El sentido de las indirectas a día de hoy? Porque yo no lo veo 😂😂😂,Comunicación interpersonal,REL,"Relaciones personales, afectivas y vida social"
Catalán,USER_f26509d22a,"#chiringuitobenzema partidazo de benzema, ya era hora este tío es un maquina",Fútbol,DEP,Deporte y competición
Catalán,USER_f26509d22a,Yo que encontré mi lugar en el color de tus ojos,Sentimientos románticos,REL,"Relaciones personales, afectivas y vida social"
Catalán,USER_f26509d22a,Que lo que más daño te hace es lo que más te engancha,Reflexión sentimental,REL,"Relaciones personales, afectivas y vida social"
Catalán,USER_f26509d22a,4 semanitas y fuera 📚💪,Estudios/metas,EDU,Educación y formación
Catalán,USER_f26509d22a,"Eramos la noche y el día.
Pero que noche, la de aquel día.",Nostalgia,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Catalán,USER_f26509d22a,Estoy obligandome a no sentir,Control emocional,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Catalán,USER_f26509d22a,Contigo siempre con lo que nadie nunca,Vínculo afectivo,REL,"Relaciones personales, afectivas y vida social"
Catalán,USER_f26509d22a,"""¿Quieres ver mi colección de errores? Los tengo de todos los colores.""",Autorreflexión humorística,HUMOR,"Humor, memes y contenido lúdico"
Catalán,USER_f26509d22a,"Y una tarde,al volver a su placita de niño ,el hombre quiso ser niño pero ya no pudo ser {{URL}}",Nostalgia infantil,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Catalán,USER_f26509d22a,"No fuiste ni tu ni yo, quizás no fue nuestro momento",Fin de relación,REL,"Relaciones personales, afectivas y vida social"
Catalán,USER_f26509d22a,Que bonita eres {{LOCATION}} {{URL}},Apreciación de lugar,TERR,"Territorio, identidad local y comunidad"
Catalán,USER_f26509d22a,Que bien sienta perderse de vez en cuando {{URL}},Búsqueda personal,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Catalán,USER_f26509d22a,Hoy me voy a querer como nadie me ha sabido querer,Autoestima,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Catalán,USER_f26509d22a,"{{PERSON}}
Como ossquiero {{URL}}",Afecto personal,REL,"Relaciones personales, afectivas y vida social"
Catalán,USER_f26509d22a,{{PERSON}} dia con la mejor {{URL}},Compañía/amistad,REL,"Relaciones personales, afectivas y vida social"
Catalán,USER_f26509d22a,Prefiero que me odien por lo que soy que me quieran por lo que no soy,Autenticidad,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Catalán,USER_f26509d22a,Yo he hecho algo mal en mi anterior vida porque si no no lo entiendo,Frustración,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Catalán,USER_f26509d22a,Aunque me joda decirlo me haces falta,Añoranza,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Catalán,USER_f26509d22a,Que bonita eres {{LOCATION}} {{URL}},Apreciación de lugar,TERR,"Territorio, identidad local y comunidad"
Catalán,USER_f26509d22a,Hazme sentir mas de lo que me merezco y punto,Deseo emocional,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Catalán,USER_f26509d22a,"Te guardo en el cajón de los recuerdos, en el cajón de los olvidos,
en el de los sueños rotos y en el de los sueños cumplidos.",Reflexión emocional,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Catalán,USER_f26509d22a,Por encima de cualquier pero♥ {{URL}},Amor/apoyo,REL,"Relaciones personales, afectivas y vida social"
