territorio,usuario,tweet,microtema,macrotema_codigo,macrotema
Colombia,USER_d4a6ec3e24,"después de cuatrocientos años soltera me he dado cuenta de que posiblemente me quede sola por el resto de mi vida por el simple hecho de que no sé cómo mantener una conversación por chat: no me interesa en lo absoluto 

pensar que en mi adolescencia me pasaba horas chateando",Reflexión sobre relaciones,REL,"Relaciones personales, afectivas y vida social"
Colombia,USER_d4a6ec3e24,pinté una ventana {{URL}},Actividades domésticas,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Colombia,USER_d4a6ec3e24,"me desperté temprano, me bañé con agua HIRVIENDO y como es domingo me volví a poner pijama pero esta vez inaguré la temporada de 𝓹𝓪𝓷𝓽𝓪𝓵𝓸𝓷𝓮𝓼 𝓬𝓪𝓵𝓮𝓷𝓽𝓲𝓽𝓸𝓼 

gracias a dios por el otoño",Rutina diaria,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Colombia,USER_d4a6ec3e24,yo cuando la misma persona que me ha demostrado 203 veces que le importo una mierda me vuelve a fallar: 😮,Relaciones interpersonales,REL,"Relaciones personales, afectivas y vida social"
Colombia,USER_d4a6ec3e24,Increíble el show de {{PERSON}} que la lloren los gringos y los anti reggeaton,Música y entretenimiento,OCIO,"Cultura, ocio y entretenimiento"
Colombia,USER_d4a6ec3e24,yo con la rosca ajustadísima diciéndole a cada tipo que me habla que no me interesa tener nada casual con nadie para que se espanten de una vez y me dejen en paz {{URL}},Estrategias de citas,REL,"Relaciones personales, afectivas y vida social"
Colombia,USER_d4a6ec3e24,{{PERSON}} el portugués,Contenido no interpretable,NOINT,Contenido no interpretable
Colombia,USER_d4a6ec3e24,"sí, siguiente pregunta",Contenido no interpretable,NOINT,Contenido no interpretable
Colombia,USER_d4a6ec3e24,llevo como tres días hablando sólo en jngles porque estoy con unas amigas que no hablan español y recién me descubrí a mí misma TRADUCIENDO MIS PENSAMIENTOS¿¿???¿????¿ jujsjsjskdsssssmkkkk {{URL}},Experiencia lingüística,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Colombia,USER_d4a6ec3e24,BUSCO ENTRADAS PARA OASIS HOY O MAÑANA!!!!!!!!!!!!!! CUALQUIERAaaaa,Búsqueda de entradas,OCIO,"Cultura, ocio y entretenimiento"
Colombia,USER_b243334a39,La vida me dió el mejor regalo y ese eres tú quien me llena de tanto amor y felicidad 😍❤️ {{URL}},Amor y afecto,REL,"Relaciones personales, afectivas y vida social"
Colombia,USER_b243334a39,RUSIAAAAAAAAAAAAAAAAAAAAAAAAAAAAA 💛💙❤️,Actualidad internacional,POL,"Política, instituciones y actualidad pública"
Colombia,USER_b243334a39,"Hoy fue un dia realmente genial, conoci a mi alma gemela jajajaj",Relaciones sentimentales,REL,"Relaciones personales, afectivas y vida social"
Colombia,USER_b243334a39,"Déjame robarte un beso que me llegue hasta el alma, como un vallenato de esos viejos que nos gustaban♪♪♪♪",Romance y música,REL,"Relaciones personales, afectivas y vida social"
Colombia,USER_b243334a39,Mañana tengo la inducción de la universidad y no me las creo {{PERSON}} 😁,Estudios universitarios,EDU,Educación y formación
Colombia,USER_b243334a39,"Me he dado cuenta que cualquier otra persona me puede faltar, pero tu no! Eres el mejor de todos y el unico que realmente siempre ha estado {{URL}}",Aprecio y gratitud,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Colombia,USER_b243334a39,"Es tan lindo estar sin novio, sin preocupaciones, sin amarguras, sin tristezas, sin tener que llorar por alguien, esa tranquilidad es linda😁",Soltería y bienestar personal,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Colombia,USER_b243334a39,"Cuando lo vi, fue un revuelto de sentimientos 😏😀",Emociones por un encuentro,REL,"Relaciones personales, afectivas y vida social"
Colombia,USER_b243334a39,yo tengo cita pendiente con todo el mundo 😱😱😱😱😱,Vida social,REL,"Relaciones personales, afectivas y vida social"
Colombia,USER_b243334a39,A veces no alcanzan las palabras para expresar el agradecimirnto que hay. Hoy es un día especial… {{URL}},Gratitud,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Colombia,USER_b243334a39,Tengo unas ojeras de kilo gracias a la mejor trasnochada que he tenido con mi mejor amigo ♥,Amistad y diversión,REL,"Relaciones personales, afectivas y vida social"
Colombia,USER_b243334a39,😊😊😊😊 {{URL}},Contenido no interpretable,NOINT,Contenido no interpretable
Colombia,USER_b243334a39,Hoy mi mayor alegria fue que {{PERSON}} me dijera tia 😊😊😊😊,Alegría familiar,REL,"Relaciones personales, afectivas y vida social"
Colombia,USER_b243334a39,Mi mejor amiga me hace una falta enorme 😭,Extrañar a un amigo,REL,"Relaciones personales, afectivas y vida social"
Colombia,USER_b243334a39,Vamos lento 🙈 {{URL}},Relaciones incipientes,REL,"Relaciones personales, afectivas y vida social"
Colombia,USER_b243334a39,"Comiendo peto y acordarme de: quien quiere peto,  peto peto  🎶🎶",Comida y recuerdos,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Colombia,USER_b243334a39,Mi mejor amigo me intento decir borracha por haberlo llamado a decirle feliz día de los amigos poker  🍻💕 {{URL}},Amistad y celebración,REL,"Relaciones personales, afectivas y vida social"
Colombia,USER_b243334a39,El mensaje más lindo de hoy fue el de mi mejor amigo  ❤ pinche como te amooooo  👫,Afecto entre amigos,REL,"Relaciones personales, afectivas y vida social"
Colombia,USER_b243334a39,Recuerdo que mi última rosa en el día de la mujer fue cuando estaba por alla en primaria  😝,Recuerdos y fechas especiales,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Colombia,USER_b243334a39,Dormir todo el día sólo por estar enferma  😢,Enfermedad,SALUD_COT,"Salud, cuerpo y bienestar cotidiano"
Colombia,USER_b243334a39,Extraño tanto a mi mejor amiga  😞,Extrañar a un amigo,REL,"Relaciones personales, afectivas y vida social"
Colombia,USER_b243334a39,Ni siquiera con haberle dicho eso dejo la maricada,Frustración interpersonal,REL,"Relaciones personales, afectivas y vida social"
Colombia,USER_ad24f647cb,"Hay amigas que a pesar de que no las veamos por mucho tiempo, en el reencuentro es como si el tiempo no hubiera corrido. 🥰 {{USER_MENTION}}",Amistad,REL,"Relaciones personales, afectivas y vida social"
Colombia,USER_ad24f647cb,"Este año tendré un grupo de chiquitines y hace mucho tiempo no trabajo con niños tan pequeños, manden mucha suerte {{PERSON}}",Trabajo y educación,ECO,"Economía, empleo y vivienda"
Colombia,USER_ad24f647cb,"Escojan muy bien sus parejas, este hombre en momentos tan duros me ha la dado toda la calma y tranquilidad  que sola no he podido obtener, además de que realmente entiende la palabra de ""estar en las malas"". Me gané la lotería ♥️ {{URL}}",Relación de pareja,REL,"Relaciones personales, afectivas y vida social"
Colombia,USER_ad24f647cb,"{{LOCATION}} es hermosa, pero la vía entre {{LOCATION}} -Medellin horrible !",Viajes y quejas,MOV,"Movilidad, transporte y espacio urbano"
Colombia,USER_ad24f647cb,Y ahora a quien le cuento todo esto?,Reflexión personal,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Colombia,USER_ad24f647cb,¿Cruzaré la horrible vía Manizales- Bogotá llena de derrumbes solo por ir a votar por {{PERSON}}? Lo haré.,Política y compromiso cívico,POL,"Política, instituciones y actualidad pública"
Colombia,USER_ad24f647cb,te amo,Expresión de afecto,REL,"Relaciones personales, afectivas y vida social"
Colombia,USER_ad24f647cb,{{LOCATION}} a una hamburguesa o algo. 🥹,Deseo de comida,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Colombia,USER_ad24f647cb,"Nunca se queden en un lugar que no los haga feliz, por más cambios que eso produzca en sus vidas, de verdad.",Reflexión personal y consejo,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Colombia,USER_ad24f647cb,"Nunca había visto que {{USER_MENTION}} hablara tanto de algo, creo que está muy feliz por su práctica y espero que le coja mucho amor a esta vaina llamada docencia y este mismo camino le traiga tantas cosas maravillosas como me las ha traído a mi 🥰 PD: te amo mucho",Docencia y felicitación a amigo,EDU,Educación y formación
Colombia,USER_ad24f647cb,Dizque el pax noche agotado en {{LOCATION}} 🥲,Ocio y frustración,OCIO,"Cultura, ocio y entretenimiento"
Colombia,USER_ad24f647cb,Quiero ir a ver {{PERSON}} 😭,Deseo de ver a persona (artista/público),OCIO,"Cultura, ocio y entretenimiento"
Colombia,USER_ad24f647cb,🎂❤️ {{URL}},Cumpleaños,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Colombia,USER_ad24f647cb,Realmente si me siento tratada como una princesa al lado de este hombre 😌❤️ {{URL}},Relación de pareja,REL,"Relaciones personales, afectivas y vida social"
Colombia,USER_ad24f647cb,"Que esta semana no termine tan rápido, por fis 😌",Disfrute del tiempo,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Colombia,USER_ad24f647cb,Hoy me siento ✨📈 {{URL}},Sentimiento positivo,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Colombia,USER_ad24f647cb,"Nooo que semana tan larga, quiero ver a mi novio ya 🥺",Relación de pareja y deseo,REL,"Relaciones personales, afectivas y vida social"
Colombia,USER_ad24f647cb,"En todo el proceso tan difícil pero bonito que he vivido este año, de conocerme a mi misma, he descubierto que poder hacer feliz a otros también hace parte de mi felicidad.✨",Crecimiento personal y altruismo,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Colombia,USER_ad24f647cb,¿Alguien conoce a alguien que alguna vez haya pedido por AliExpress? Urgenteee. 🥲,Pregunta sobre compras online,CONSUMO,"Consumo, tecnología y compras"
Colombia,USER_ad24f647cb,Amor y mucha paz 🥰 {{URL}},Deseos positivos,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Colombia,USER_ad24f647cb,Hace 5 meses estoy con la persona que siempre soñé tener en mi vida. Esperar si vale la pena ❤️,Relación de pareja,REL,"Relaciones personales, afectivas y vida social"
Colombia,USER_ad24f647cb,Mis niños de 8 años hacen sino hablar que el gobierno nos está robando el dinero y por eso hay tantas manifestaciones. Me siento re 🥺🥰,Política y observación de niños,POL,"Política, instituciones y actualidad pública"
Colombia,USER_450e559dd3,"{{LOCATION}} va a echar plomo a todo el que no este de acuerdo con sus chocherias, porque esa es su manera de gobernar, con violencia, con grosería, sometiendo, asustando, amenazando.",Política,POL,"Política, instituciones y actualidad pública"
Colombia,USER_450e559dd3,"La gente no entiende lo grave que es que {{PERSON}} llegue al poder, no me cabe en el cuerpo el miedo que siento en este momento.",Política,POL,"Política, instituciones y actualidad pública"
Colombia,USER_450e559dd3,Uno es todo marica pensando que la gente es igual a uno.,Reflexión personal,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Colombia,USER_450e559dd3,11:11 - {{USER_MENTION}} PRESIDENTE.,Política,POL,"Política, instituciones y actualidad pública"
Colombia,USER_450e559dd3,"Ahora mismo, la veo dormir, siento su calor, observo detenidamente su rostro sin inmutarse, sin más, tan frágil, tan vulnerable, puta madre que afortunada soy de tenerla así, sin escudos, siendo ella, siento perfecta.",Amor y pareja,REL,"Relaciones personales, afectivas y vida social"
Colombia,USER_450e559dd3,"Yo si quiero toda mi vida al lado de la misma persona,  yo si.",Amor y pareja,REL,"Relaciones personales, afectivas y vida social"
Colombia,USER_450e559dd3,"Reaccionen,  nunca permitan están mierda por Dios !!😡",Protesta social,POL,"Política, instituciones y actualidad pública"
Colombia,USER_450e559dd3,Todo lo del pobre es robado y la trampa del rico se aplaude {{PERSON}},Crítica social,POL,"Política, instituciones y actualidad pública"
Colombia,USER_450e559dd3,"Uno no se ofende por un juego ni por un reality, uno se ofende porque es el claro ejemplo que en este país pasan cosas tan desleales y nadie hace ni mierda, nadie dice nada, todos ignoran y ""pasan pagina"" #{{LOCATION}}",Crítica social,POL,"Política, instituciones y actualidad pública"
Colombia,USER_450e559dd3,"Que Dios lleve con bien y vivos a sus casas a todos los que están en la calle esta noche, hoy mi país no tiene nombre😞",Preocupación social,POL,"Política, instituciones y actualidad pública"
Colombia,USER_450e559dd3,{{PERSON}} mía.,Amor y pareja,REL,"Relaciones personales, afectivas y vida social"
Colombia,USER_450e559dd3,"El calor de sus pies junto a los míos, cada noche, todo el tiempo, toda la vida.",Amor y pareja,REL,"Relaciones personales, afectivas y vida social"
Colombia,USER_450e559dd3,"No paro de admirar a mi novia, que digo novia, a mi mujer, a mi esposa, a mi compañera de vida, no saben lo bonito que se siente amar de esta manera tan real.",Amor y pareja,REL,"Relaciones personales, afectivas y vida social"
Colombia,USER_450e559dd3,Uno no puede obligar a nadie a estar donde no quiere estar😥,Reflexión personal,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Colombia,USER_450e559dd3,"No lo puedo creer, enserio.",Reacción general,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Colombia,USER_450e559dd3,"Tengo el privilegio de verla cada noche mientras duerme, allí tranquila, llena de paz, sin preocupaciones, tengo el privilegio de ser la mujer que eligió para el resto de su vida, y les puedo jurar que ese es y será mi mejor regalo💙❤",Amor y pareja,REL,"Relaciones personales, afectivas y vida social"
Colombia,USER_450e559dd3,"Quiero a esa mujer para toda mi puta vida, se los juro💙❤",Amor y pareja,REL,"Relaciones personales, afectivas y vida social"
Colombia,USER_450e559dd3,"{{LOCATION}} panas, que uno se cansa y se abre.",Desilusión social,POL,"Política, instituciones y actualidad pública"
Colombia,USER_450e559dd3,Te amo amor de todas mis vidas❤💙 {{URL}},Amor y pareja,REL,"Relaciones personales, afectivas y vida social"
Colombia,USER_450e559dd3,Volver a vivir - {{PERSON}} ft. {{PERSON}}.,Música,OCIO,"Cultura, ocio y entretenimiento"
Colombia,USER_450e559dd3,Todo lo que quiero y lo que necesito es a ella.,Amor y pareja,REL,"Relaciones personales, afectivas y vida social"
Colombia,USER_3c9006e858,"Te dejo ir, pero mi intención no es culparte y mucho menos hacerte responsable por mi falta de amor propio, permisividad y poca asertividad.",Reflexión sobre relaciones,REL,"Relaciones personales, afectivas y vida social"
Colombia,USER_3c9006e858,Que pereza un man tan mentiroso.,Crítica a la falsedad,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Colombia,USER_3c9006e858,Después de tantos años decidí cortarme el cabello 🥲,Estilo personal,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Colombia,USER_3c9006e858,"Rezo por la mujer que quiero ser en 5 años, espero ser feliz, amada, humilde, y estar haciendo lo que más amo.",Deseos futuros,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Colombia,USER_3c9006e858,Me entenderás cuando te duela el alma como a mi.,Expresión de dolor,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Colombia,USER_3c9006e858,El mayor perdón me lo debo a mi misma.,Autoaceptación,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Colombia,USER_3c9006e858,Gracias vida por qué con cada caída me vuelvo más fuerte,Superación personal,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Colombia,USER_3c9006e858,Haces parte de nuestra manada zipaquireña ❤️,Orgullo local,TERR,"Territorio, identidad local y comunidad"
Colombia,USER_3c9006e858,El peor error es complacer a los demás y nunca complacerse a si mismo.,Filosofía de vida,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Colombia,USER_3c9006e858,Trabajar duro para ayudar a mamá 😃,Dedicación familiar,REL,"Relaciones personales, afectivas y vida social"
Colombia,USER_3c9006e858,No me voy a estresar y mucho menos a rogar cuando se que estoy haciendo las cosas bien,Determinación personal,VIDA,"Rutinas, experiencias cotidianas y estados personales"
