territorio,usuario,tweet,microtema
Perú,USER_a968ce5a41,{{PERSON}} allqucha. {{URL}},Mascotas
Perú,USER_a968ce5a41,"Si pasaras por mi hombro, notarías su profundo {{LOCATION}}, el hambre de flojeras repetidas, boca abierta sin vetas que ya no sangra palabras preciosas, solo hilos de metal que solían reverberar, hoy ensartan bordes de fragmentos endebles que no saben cómo piezarse.",Reflexión existencial
Perú,USER_a968ce5a41,"Mientras espero que pase el río, enciendo una llama hasta que se consuma todo el cerillo.",Reflexión sobre el tiempo
Perú,USER_a968ce5a41,"Por maravillas como esta, vale la pena seguir viviendo en {{LOCATION}} (y estando en Twitter/X) 6",Apreciación del entorno
Perú,USER_a968ce5a41,"Por maravillas como esta, vale la pena seguir viviendo en {{LOCATION}} (y estando en Twitter/X) 4
¡Amo esta foto!",Apreciación fotográfica
Perú,USER_a968ce5a41,"Mi cuerpo es solo un fragmento rugoso e irregular de la vida; su necesidad de belleza es la belleza misma de sus surcos, huellas dactilares o marcas de existencias prehistóricas que se mantienen vivas.
({{LOCATION}}) {{URL}}",Reflexión corporal
Perú,USER_a968ce5a41,Dos flores: una para la partida y otra para la bienvenida. #{{LOCATION}} {{URL}},Simbolismo y eventos
Perú,USER_a968ce5a41,"{{PERSON}}, cual {{PERSON}} del {{NUMBER}}, llevándome de la mano por el otrora camino amarillo, hoy verde, bajo un cielo donde conviven al mismo tiempo el sol, la luna y un corazón incandescente de amor. ¡Te quiero mucho, {{PERSON}}! {{URL}}",Expresión de amor
Perú,USER_a968ce5a41,"{{PERSON}}, ¡te mojaron! {{URL}}",Anécdota personal
Perú,USER_a968ce5a41,Una de las cosas bonitas de la vida... {{URL}},Reflexión positiva
Perú,USER_a968ce5a41,"No soy libre; mañana, tampoco. Lo siento, {{PERSON}}, sigo siendo esclavo de mis pasiones. {{URL}}",Reflexión personal
Perú,USER_a968ce5a41,"Sacándole la vuelta al juego del texto predictivo, me salió este retuerto:",Juego de palabras
Perú,USER_a968ce5a41,"El primer año, en medio del mar, se resiste; el segundo año, tambaleas; el tercero –espero–, se regresa al cauce, pero ya sin lecho. Feliz día, también, a tu amor de madre. #{{PERSON}}",Reflexión sobre el tiempo y etapas de vida
Perú,USER_a968ce5a41,"Un borde difuso perfilándose por encima y detrás de otro borde, ¿de qué?, de cerro, de casa, de cuerpo, de cualquier que desees. Eso es la mañana tibia en que te pienso.",Descripción poética
Perú,USER_a968ce5a41,"Tantas cosas que decir. Por ejemplo, que, siempre a estas horas, mientras los gallinazos nos agolpamos por la carroña del bus, sobre la estación {{LOCATION}}, las aves hacen coreografías volando en bandadas.",Observación urbana y naturaleza
Perú,USER_a968ce5a41,"""Tú y tus atardeceres"". ""Tú y tus puestas de sol"". Así me dices y, luego, dejas de escribir. ({{LOCATION}} desde el mirador / {{LOCATION}} desde el cuarto piso) {{URL}}",Atardeceres y conexión personal
Perú,USER_a968ce5a41,"No hay nada más complaciente que sentarse a una mesa, solo, y ver pasar a la gente por la calle. ¡Qué placer el espectáculo del movimiento de los cuerpos! ¡Cuántas vidas pueden pasar frente a tus ojos! ¡Qué gracia poseerlas y liberarlas en tan sólo unos segundos! {{URL}}",Observación de la vida pública
Perú,USER_a968ce5a41,"Solo de tus paseos, 
de tus sombras 
y de tus altos,
que calcinan mi corazón 
con inclemente ardor, 
soy eterno amador.
#{{LOCATION}} {{URL}}",Poesía de amor
Perú,USER_a968ce5a41,"¡Ay, {{PERSON}}! ¡Cuánta falta nos haces!",Extrañar a alguien
