territorio,usuario,tweet,microtema,macrotema_codigo,macrotema
Gallego,USER_d8809ba569,las vistas del cementerio de mi pueblo son paradójicamente espectaculares.,Observación del entorno,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Gallego,USER_25632cf3ea,¿Habéis visto que {{PERSON}} Me caso 💒,Contenido no interpretable,NOINT,Contenido no interpretable
Gallego,USER_25632cf3ea,Hasta el ch8,Contenido no interpretable,NOINT,Contenido no interpretable
Gallego,USER_25632cf3ea,No puedo dormir pensando que {{PERSON}} sacó Virtual Diva en {{NUMBER}} (la grabó en {{NUMBER}}) y Hatsune Miku tiene actualmente 18 años (es del {{NUMBER}}),Contenido no interpretable,NOINT,Contenido no interpretable
Gallego,USER_25632cf3ea,Well I'm insane #joshler #twentyonepilots #clique {{URL}},Contenido no interpretable,NOINT,Contenido no interpretable
Gallego,USER_25632cf3ea,Make the same but with Gojo,Contenido no interpretable,NOINT,Contenido no interpretable
Gallego,USER_25632cf3ea,"La gente en los comentarios diciendo que sí es sexual porque tiene clips para el pelo y calcetines altos, pero yo lo que veo sus es que haya movido la cola para hacer esa última foto xdddd",Contenido no interpretable,NOINT,Contenido no interpretable
Gallego,USER_25632cf3ea,No estoy gestionando nada bien la ansiedad ni las emociones fuertes...,Contenido no interpretable,NOINT,Contenido no interpretable
Gallego,USER_25632cf3ea,Me han hackeado la cuenta si os mandan vídeos míos desnudo es porque ya la he recuperado,Contenido no interpretable,NOINT,Contenido no interpretable
Gallego,USER_25632cf3ea,Me voy a cambiar el nick porque ya mismo es el 10 aniversario de {{LOCATION}} ❤️🖤🤍,Contenido no interpretable,NOINT,Contenido no interpretable
Gallego,USER_25632cf3ea,"*mi novio le pega una torta a la almohada*
Yo: ¿Qué pasa?
Él: una mascotilla
Yo: ¿Eh?
Él: iba a matarla
Yo: ???
...
Yo: ¿Una mascotilla?
Él: sí una mosquitilla, que soy disléxico
*me desinflo y se me sale un pulmón* 😹",Contenido no interpretable,NOINT,Contenido no interpretable
Gallego,USER_25632cf3ea,"Así os leo, con una gata ronroneando sobre mi pecho {{URL}}",Contenido no interpretable,NOINT,Contenido no interpretable
Gallego,USER_25632cf3ea,Acabamos de ver Mufasa y tengo una pregunta para {{PERSON}}: ¿Los malos tenían que ser de otra raza? 🤨,Contenido no interpretable,NOINT,Contenido no interpretable
Gallego,USER_25632cf3ea,"Wow, aquí hacen unos 15 graditos y se está súper fresquito, pero como es {{LOCATION}} en cualquier momento suben y empieza a picar el sol de la hostia...",Contenido no interpretable,NOINT,Contenido no interpretable
Gallego,USER_25632cf3ea,POR FIN HA LLEGADO EL DÍA!!! {{URL}},Contenido no interpretable,NOINT,Contenido no interpretable
Gallego,USER_25632cf3ea,Tengo una foto con {{USER_MENTION}} del Gamepolis de {{NUMBER}} o por ahí ronda 🤔 {{URL}},Contenido no interpretable,NOINT,Contenido no interpretable
Gallego,USER_25632cf3ea,"Debería probar a pintar algo de Hora de Aventuras, pero es una pena porque no me queda ningún lienzo",Contenido no interpretable,NOINT,Contenido no interpretable
Gallego,USER_25632cf3ea,No me toquéis el coño porque ya estoy hasta la polla,Contenido no interpretable,NOINT,Contenido no interpretable
Gallego,USER_25632cf3ea,"Me encanta el elefante tipo ""no sé qué me habré comido, pero ese ñordo se mueve y me está observando"" 🤨",Contenido no interpretable,NOINT,Contenido no interpretable
Gallego,USER_25632cf3ea,Oye que no se queda ronca la gata por más que maulla a grito puro durante minutos sin parar,Contenido no interpretable,NOINT,Contenido no interpretable
Gallego,USER_25632cf3ea,"A mí de peque no me gustaban, pero a día de hoy me haría uno, ¿ustedes qué opinan? 🤔",Contenido no interpretable,NOINT,Contenido no interpretable
Gallego,USER_25632cf3ea,"Algo que me gusta mucho de {{LOCATION}} es que tiene media cara atigrada y la otra media naranja, según por dónde la mires parece un gato distinto, es como si llevase una máscara",Contenido no interpretable,NOINT,Contenido no interpretable
Gallego,USER_25632cf3ea,Estoy creando el café {{LOCATION}} en los Sims y haré un puñado de Ghouls que serán vampiros y lo lleven ☕🩸,Contenido no interpretable,NOINT,Contenido no interpretable
Gallego,USER_1d1bf47eb4,{{LOCATION}} CONTAAAARTEEE SON DEMASIADAS LAS GANAS QUE YO TE TENGO A {{LOCATION}} 🎤🎤 {{URL}},Contenido no interpretable,NOINT,Contenido no interpretable
Gallego,USER_1d1bf47eb4,"Últimas entradas, no te quedes sin la tuya @ Sala La Riviera {{URL}}",Contenido no interpretable,NOINT,Contenido no interpretable
Gallego,USER_1d1bf47eb4,Mañana se liaaaaa en la riviera #{{PERSON}}. {{LOCATION}} es el último día para pillar las… {{URL}},Contenido no interpretable,NOINT,Contenido no interpretable
Gallego,USER_1d1bf47eb4,2 copas 15€. FARRUKO ESTA NOCHE EN LA CHAPAAAAAAA!!!! @ La Chapa {{URL}},Contenido no interpretable,NOINT,Contenido no interpretable
Gallego,USER_1d1bf47eb4,"Esta Supermartxe con  #steveangello no te quedes sin tu entrada pos solo 20€, que no te pille la… {{URL}}",Contenido no interpretable,NOINT,Contenido no interpretable
Gallego,USER_1d1bf47eb4,PAM PAM PAM PAM PAM PAM 💃💃💪🙏🙏🏽con {{USER_MENTION}} _valentinagaviria {{LOCATION}} {{URL}},Contenido no interpretable,NOINT,Contenido no interpretable
Gallego,USER_1d1bf47eb4,Chicos y chicas de 00:00 a 2:00 entrada a 10€ con una consumición y todas las copas a 1€ toda la noche {{URL}},Contenido no interpretable,NOINT,Contenido no interpretable
Gallego,USER_1d1bf47eb4,{{PERSON}}; Like Mike - 4every1 Festival - Tremor {{URL}} vía {{USER_MENTION}},Contenido no interpretable,NOINT,Contenido no interpretable
Gallego,USER_1d1bf47eb4,"Y es que no me digas ""lo siento"" con la misma mirada que me dijiste ""jamas seria capaz de hacerte… {{URL}}",Contenido no interpretable,NOINT,Contenido no interpretable
Gallego,USER_1d1bf47eb4,Que te asusten mas los gritos de tu madre que el terremoto.,Contenido no interpretable,NOINT,Contenido no interpretable
Gallego,USER_1d1bf47eb4,Todavía se me sigue cortando la respiración cada vez que te veo,Contenido no interpretable,NOINT,Contenido no interpretable
Gallego,USER_1d1bf47eb4,Ahora vamos a ver una de las mejores pelis que he visto nunca #LaInvencionDeHugo,Contenido no interpretable,NOINT,Contenido no interpretable
Gallego,USER_1d1bf47eb4,Yo no se como los de {{PERSON}} y {{PERSON}} no se empalman 😅😅,Contenido no interpretable,NOINT,Contenido no interpretable
Gallego,USER_1d1bf47eb4,Me va a reventar la cabeza 👦{{PERSON}},Contenido no interpretable,NOINT,Contenido no interpretable
Gallego,USER_1d1bf47eb4,"Y nos besamos como si no hubiera un mañana, sabiendo que era el final.",Contenido no interpretable,NOINT,Contenido no interpretable
Gallego,USER_1d1bf47eb4,BANG BANG!! BREATHE BITCH {{URL}},Contenido no interpretable,NOINT,Contenido no interpretable
Gallego,USER_1d1bf47eb4,{{PERSON}} con estos yonkazos {{USER_MENTION}} {{URL}},Contenido no interpretable,NOINT,Contenido no interpretable
Gallego,USER_1d1bf47eb4,{{USER_MENTION}} para de RT comida súper deliciosa por favor que no he comido todavía 😖😫😖😫,Contenido no interpretable,NOINT,Contenido no interpretable
Gallego,USER_1d1bf47eb4,Casualidades(?),Contenido no interpretable,NOINT,Contenido no interpretable
Gallego,USER_1d1bf47eb4,"Yo te quise, incluso cuando ni tu te querías.",Contenido no interpretable,NOINT,Contenido no interpretable
Gallego,USER_04be2a1856,"buscamos 1 compañerx de piso en {{LOCATION}} para entrar en septiembre por {{LOCATION}}, 

312€/persona sin gastos!! 

más info md por insta @/mariomondejar_ 🥹",Búsqueda de piso/compañero,ECO,"Economía, empleo y vivienda"
Gallego,USER_04be2a1856,"Busco piso en {{LOCATION}} con dos habitaciones libres (o más) 🥹

Si dejas tu piso o sabes de alguien que busque compañeros, porfa háblame por aquí o por instagram ({{USER_MENTION}})

Muchas gracias! 💘 
(RT también ayuda 💔)",Búsqueda de piso/compañero,ECO,"Economía, empleo y vivienda"
Gallego,USER_04be2a1856,El gusto que le he cogido a salir de casa sin saber cuando voy a volver 👍🏻,Estilo de vida/libertad personal,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Gallego,USER_04be2a1856,"Para el baboso que me ha hecho fotos en el metro: me cago en tus putos muertos a ver si revientas cerdo de mierda. A la chica que me ha avisado mil gracias reina eres la mejor. 
Qué triste es que vosotras estéis acostumbradas.",Queja/denuncia de acoso,SERV,"Servicios públicos, administración y derechos sociales"
Gallego,USER_04be2a1856,Me encanta deconstruirme hasta {{PERSON}} soy consciente de q la mitad de mis actos buscan refuerzo o aceptación de los demás. A ti?? párate y piensa,Reflexión personal,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Gallego,USER_04be2a1856,cuánta paz ❤️,Sentimientos positivos,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Gallego,USER_04be2a1856,no me preocupo ando en modo avión,Actitud personal,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Gallego,USER_04be2a1856,renovarse o morir era? {{URL}},Reflexión/proverbio,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Gallego,USER_04be2a1856,Por supuesto que tienes libertad para votar en contra de tus propios derechos. {{PERSON}} por hacerlo {{URL}},Opinión política/crítica social,POL,"Política, instituciones y actualidad pública"
Gallego,USER_04be2a1856,Manifestarse no sirv..... ❗️❗️❗️,Activismo/opinión política,POL,"Política, instituciones y actualidad pública"
Gallego,USER_04be2a1856,"me cago en tos tus muertos, haber {{PERSON}}",Insulto/expresión de ira,REL,"Relaciones personales, afectivas y vida social"
Gallego,USER_04be2a1856,La frase no kería estar atada pero a ti te casaba se siente fuerte #yuBadGyal5G,Relaciones personales,REL,"Relaciones personales, afectivas y vida social"
Gallego,USER_04be2a1856,No hace falta votar no m jodas 🌡🔥,Opinión política/crítica,POL,"Política, instituciones y actualidad pública"
Gallego,USER_04be2a1856,habría salido bien si no fueses gilipollas,Conflicto personal/queja,REL,"Relaciones personales, afectivas y vida social"
Gallego,USER_04be2a1856,cuándo y cómo se deja de esperar que la gente actúe como lo harías tú??,Reflexión personal/interacciones sociales,REL,"Relaciones personales, afectivas y vida social"
Gallego,USER_04be2a1856,inevitable,Reflexión breve,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Gallego,USER_04be2a1856,🕊️ xfin,Sentimientos positivos/alivio,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Gallego,USER_04be2a1856,estoy en ello,Estado personal/progreso,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Gallego,USER_04be2a1856,"Mi yo de hace 5 años estaría orgulloso, ojalá el de dentro de 5 también lo esté",Reflexión personal/futuro,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Gallego,USER_04be2a1856,Usad la bandera para representarnos a todos y estaremos orgullosos de ella,Opinión social/identidad nacional,TERR,"Territorio, identidad local y comunidad"
